name,operator,address,latitude,longitude,capacity_mw,capacity_type,capacity_source,status,connection_voltage,verification_status,last_updated,report_url
AIMS,,,2.9377516,101.6573578,,,OpenStreetMap way/1080495340,under construction,,needs review,2026-08-26,
Basis Bay,,,3.0905989,101.5791729,,,OpenStreetMap node/14004400718,,,needs review,2026-08-26,
ZDATA Johor GP3 (OSM-tagged site; directory lists as planned),,,1.4880951,103.5944364,,,OpenStreetMap node/13854865053,,,needs review,2026-08-26,
IRIX DC,,"Lot 727 Jalan Sultan Tengah, Santubong, 93010 Kuching",1.7096888,110.3534142,,,OpenStreetMap node/13197364001,,,needs review,2026-08-26,
NEXTDC Kuala Lumpur Data Centre (KL1),NEXTDC Sdn Bhd,"1 Jalan 51a/229, Seksyen 51A, 46100 Petaling Jaya, Selangor",3.0946929,101.6284258,65,confirmed,OpenStreetMap way/1026603690 (capacity:electricity tag),operating,,needs review,2026-08-26,
TM Klang Valley Data Center (KVDC),TM Global,"Lingkaran Teknokrat Barat, 63000 Cyberjaya",2.9325346,101.6573189,,,OpenStreetMap way/848498975 + datacentermap.com/malaysia/cyberjaya/tm-klang-valley-data-center-kvdc/,,,needs review,2026-08-26,
,,,3.2230752,101.5202934,,,OpenStreetMap way/1448536198,,,needs review,2026-08-26,
,,,3.0601528,101.6723118,,,OpenStreetMap way/1509567732,,,needs review,2026-08-26,
(unnamed campus cluster — 14 buildings),,"near Kulai, Johor (approx.)",1.697948,103.413419,,,"OpenStreetMap: 14-way building cluster starting way/1432337885 (same area, consecutive IDs)",,,needs review,2026-08-26,
